building_id,climate,cooling_type
272,hot semi-arid,naturally ventilated
273,hot semi-arid,naturally ventilated
274,hot semi-arid,naturally ventilated
275,hot semi-arid,naturally ventilated
276,hot semi-arid,naturally ventilated
277,hot semi-arid,naturally ventilated
278,hot semi-arid,naturally ventilated
279,hot semi-arid,mixed mode
280,hot semi-arid,mixed mode
281,hot semi-arid,naturally ventilated
282,hot semi-arid,mixed mode
283,hot semi-arid,mixed mode
284,hot semi-arid,naturally ventilated
285,hot semi-arid,naturally ventilated
286,hot semi-arid,naturally ventilated
287,hot semi-arid,naturally ventilated
288,hot semi-arid,naturally ventilated
289,hot semi-arid,mixed mode
290,hot semi-arid,naturally ventilated
291,hot semi-arid,naturally ventilated
292,hot semi-arid,naturally ventilated
293,hot semi-arid,naturally ventilated
294,hot semi-arid,naturally ventilated
295,hot semi-arid,naturally ventilated
296,tropical wet savanna,naturally ventilated
297,tropical wet savanna,naturally ventilated
298,tropical wet savanna,naturally ventilated
299,tropical wet savanna,naturally ventilated
300,tropical wet savanna,naturally ventilated
301,tropical wet savanna,naturally ventilated
302,tropical wet savanna,naturally ventilated
303,tropical wet savanna,mixed mode
304,tropical wet savanna,naturally ventilated
305,tropical wet savanna,naturally ventilated
306,tropical wet savanna,naturally ventilated
307,tropical wet savanna,naturally ventilated
308,tropical wet savanna,naturally ventilated
309,tropical wet savanna,naturally ventilated
310,tropical wet savanna,naturally ventilated
311,tropical wet savanna,naturally ventilated
312,tropical wet savanna,naturally ventilated
313,tropical wet savanna,naturally ventilated
314,tropical wet savanna,naturally ventilated
315,tropical wet savanna,naturally ventilated
316,tropical wet savanna,naturally ventilated
317,tropical wet savanna,mixed mode
318,tropical wet savanna,naturally ventilated
319,tropical wet savanna,naturally ventilated
320,tropical wet savanna,naturally ventilated
321,tropical wet savanna,naturally ventilated
322,tropical wet savanna,naturally ventilated
323,tropical wet savanna,naturally ventilated
324,tropical wet savanna,mixed mode
325,tropical wet savanna,naturally ventilated
326,tropical wet savanna,mixed mode
327,tropical wet savanna,naturally ventilated
328,tropical wet savanna,naturally ventilated
329,tropical wet savanna,mixed mode
330,tropical wet savanna,mixed mode
331,tropical wet savanna,naturally ventilated
332,tropical wet savanna,mixed mode
333,tropical wet savanna,mixed mode
334,tropical wet savanna,mixed mode
335,tropical wet savanna,mixed mode
336,tropical wet savanna,mixed mode
337,tropical wet savanna,mixed mode
338,tropical wet savanna,mixed mode
339,tropical wet savanna,mixed mode
340,tropical wet savanna,mixed mode
341,tropical wet savanna,naturally ventilated
342,tropical wet savanna,mixed mode
343,tropical wet savanna,mixed mode
344,tropical wet savanna,naturally ventilated
345,tropical wet savanna,naturally ventilated
346,tropical wet savanna,naturally ventilated
347,tropical wet savanna,mixed mode
348,tropical wet savanna,mixed mode
349,tropical wet savanna,naturally ventilated
350,tropical wet savanna,mixed mode
351,tropical wet savanna,mixed mode
352,tropical wet savanna,naturally ventilated
353,tropical wet savanna,mixed mode
354,tropical wet savanna,mixed mode
355,tropical wet savanna,mixed mode
356,tropical wet savanna,mixed mode
357,monsoon-influenced humid subtropical,mixed mode
358,monsoon-influenced humid subtropical,mixed mode
359,monsoon-influenced humid subtropical,mixed mode
360,monsoon-influenced humid subtropical,mixed mode
361,monsoon-influenced humid subtropical,mixed mode
362,monsoon-influenced humid subtropical,mixed mode
363,monsoon-influenced humid subtropical,mixed mode
364,monsoon-influenced humid subtropical,mixed mode
365,monsoon-influenced humid subtropical,mixed mode
366,monsoon-influenced humid subtropical,mixed mode
367,monsoon-influenced humid subtropical,mixed mode
368,monsoon-influenced humid subtropical,mixed mode
369,monsoon-influenced humid subtropical,mixed mode
370,monsoon-influenced humid subtropical,mixed mode
371,monsoon-influenced humid subtropical,mixed mode
372,monsoon-influenced humid subtropical,mixed mode
373,monsoon-influenced humid subtropical,mixed mode
374,monsoon-influenced humid subtropical,mixed mode
375,monsoon-influenced humid subtropical,mixed mode
376,monsoon-influenced humid subtropical,mixed mode
377,monsoon-influenced humid subtropical,naturally ventilated
378,monsoon-influenced humid subtropical,mixed mode
379,monsoon-influenced humid subtropical,mixed mode
380,monsoon-influenced humid subtropical,mixed mode
381,monsoon-influenced humid subtropical,mixed mode
382,monsoon-influenced humid subtropical,mixed mode
383,monsoon-influenced humid subtropical,mixed mode
384,tropical wet savanna,mixed mode
385,tropical wet savanna,naturally ventilated
386,tropical wet savanna,naturally ventilated
387,tropical wet savanna,naturally ventilated
388,tropical wet savanna,naturally ventilated
389,tropical wet savanna,naturally ventilated
390,tropical wet savanna,naturally ventilated
391,tropical wet savanna,mixed mode
392,tropical wet savanna,mixed mode
393,tropical wet savanna,naturally ventilated
394,tropical wet savanna,mixed mode
395,tropical wet savanna,naturally ventilated
396,tropical wet savanna,naturally ventilated
397,tropical wet savanna,naturally ventilated
398,tropical wet savanna,naturally ventilated
399,tropical wet savanna,naturally ventilated
400,tropical wet savanna,naturally ventilated
401,tropical wet savanna,mixed mode
402,tropical wet savanna,mixed mode
403,tropical wet savanna,mixed mode
404,tropical wet savanna,naturally ventilated
405,tropical wet savanna,naturally ventilated
406,tropical wet savanna,naturally ventilated
407,tropical wet savanna,naturally ventilated
408,tropical wet savanna,naturally ventilated
409,tropical wet savanna,naturally ventilated
410,tropical wet savanna,naturally ventilated
411,tropical wet savanna,naturally ventilated
412,tropical wet savanna,naturally ventilated
413,tropical wet savanna,naturally ventilated
414,tropical wet savanna,naturally ventilated
415,tropical wet savanna,naturally ventilated
416,tropical wet savanna,naturally ventilated
417,tropical wet savanna,mixed mode
418,tropical wet savanna,mixed mode
419,tropical wet savanna,mixed mode
420,tropical wet savanna,mixed mode
421,tropical wet savanna,naturally ventilated
422,tropical wet savanna,naturally ventilated
423,tropical wet savanna,naturally ventilated
424,tropical wet savanna,mixed mode
425,tropical wet savanna,mixed mode
426,tropical wet savanna,mixed mode
427,tropical wet savanna,mixed mode
428,tropical wet savanna,mixed mode
429,tropical wet savanna,naturally ventilated
430,tropical wet savanna,naturally ventilated
431,tropical wet savanna,naturally ventilated
432,tropical wet savanna,naturally ventilated
433,tropical wet savanna,naturally ventilated
434,tropical wet savanna,naturally ventilated
435,tropical wet savanna,naturally ventilated
436,tropical wet savanna,naturally ventilated
437,tropical wet savanna,naturally ventilated
438,tropical wet savanna,naturally ventilated
439,tropical wet savanna,naturally ventilated
440,tropical wet savanna,naturally ventilated
441,tropical wet savanna,naturally ventilated
442,tropical wet savanna,naturally ventilated
443,tropical wet savanna,naturally ventilated
444,tropical wet savanna,naturally ventilated
445,tropical wet savanna,mixed mode
446,tropical wet savanna,mixed mode
447,tropical wet savanna,naturally ventilated
448,tropical wet savanna,mixed mode
449,tropical wet savanna,mixed mode
450,tropical wet savanna,naturally ventilated
451,tropical wet savanna,naturally ventilated
452,tropical wet savanna,naturally ventilated
453,tropical wet savanna,naturally ventilated
454,tropical wet savanna,naturally ventilated
455,tropical wet savanna,naturally ventilated
456,tropical wet savanna,naturally ventilated
457,tropical wet savanna,naturally ventilated
458,tropical wet savanna,naturally ventilated
459,tropical wet savanna,naturally ventilated
460,tropical wet savanna,naturally ventilated
461,tropical wet savanna,naturally ventilated
462,tropical wet savanna,naturally ventilated
463,monsoon-influenced temperate oceanic,
464,monsoon-influenced temperate oceanic,
465,monsoon-influenced temperate oceanic,
466,monsoon-influenced temperate oceanic,
467,monsoon-influenced temperate oceanic,
468,monsoon-influenced temperate oceanic,
469,monsoon-influenced temperate oceanic,
470,monsoon-influenced temperate oceanic,
471,monsoon-influenced temperate oceanic,
472,monsoon-influenced temperate oceanic,
473,monsoon-influenced temperate oceanic,
474,monsoon-influenced temperate oceanic,
475,monsoon-influenced temperate oceanic,
476,monsoon-influenced temperate oceanic,
477,monsoon-influenced temperate oceanic,
478,monsoon-influenced temperate oceanic,
479,monsoon-influenced temperate oceanic,
480,monsoon-influenced temperate oceanic,
481,monsoon-influenced temperate oceanic,
482,monsoon-influenced temperate oceanic,
483,monsoon-influenced temperate oceanic,
484,monsoon-influenced temperate oceanic,
485,monsoon-influenced temperate oceanic,
486,monsoon-influenced temperate oceanic,
487,monsoon-influenced temperate oceanic,
488,monsoon-influenced temperate oceanic,
489,monsoon-influenced temperate oceanic,
490,monsoon-influenced temperate oceanic,
491,monsoon-influenced temperate oceanic,
492,monsoon-influenced temperate oceanic,
493,monsoon-influenced temperate oceanic,
494,monsoon-influenced temperate oceanic,
495,monsoon-influenced temperate oceanic,
496,monsoon-influenced temperate oceanic,
497,monsoon-influenced temperate oceanic,
498,monsoon-influenced temperate oceanic,
499,monsoon-influenced temperate oceanic,
500,monsoon-influenced temperate oceanic,
501,monsoon-influenced temperate oceanic,
502,monsoon-influenced temperate oceanic,
503,monsoon-influenced temperate oceanic,
504,monsoon-influenced temperate oceanic,
505,monsoon-influenced temperate oceanic,
506,monsoon-influenced temperate oceanic,
507,monsoon-influenced temperate oceanic,
508,monsoon-influenced temperate oceanic,
509,monsoon-influenced temperate oceanic,
510,monsoon-influenced temperate oceanic,
511,monsoon-influenced temperate oceanic,
512,monsoon-influenced temperate oceanic,
513,monsoon-influenced temperate oceanic,
514,monsoon-influenced temperate oceanic,
515,monsoon-influenced temperate oceanic,
516,monsoon-influenced temperate oceanic,
517,monsoon-influenced temperate oceanic,
518,monsoon-influenced temperate oceanic,
519,monsoon-influenced temperate oceanic,
520,monsoon-influenced temperate oceanic,
521,monsoon-influenced temperate oceanic,
522,monsoon-influenced temperate oceanic,
523,mediterranean,air conditioned
524,mediterranean,air conditioned
525,mediterranean,air conditioned
526,mediterranean,air conditioned
527,mediterranean,air conditioned
528,mediterranean,air conditioned
529,mediterranean,air conditioned
530,mediterranean,naturally ventilated
531,mediterranean,naturally ventilated
532,mediterranean,naturally ventilated
533,mediterranean,air conditioned
534,mediterranean,air conditioned
535,mediterranean,air conditioned
536,mediterranean,air conditioned
537,mediterranean,air conditioned
538,mediterranean,air conditioned
539,mediterranean,air conditioned
540,mediterranean,naturally ventilated
541,mediterranean,naturally ventilated
542,mediterranean,naturally ventilated
543,tropical rainforest,air conditioned
544,tropical rainforest,air conditioned
545,tropical rainforest,air conditioned
546,tropical rainforest,air conditioned
547,west coast marine,naturally ventilated
548,west coast marine,naturally ventilated
549,west coast marine,naturally ventilated
550,west coast marine,naturally ventilated
551,west coast marine,naturally ventilated
552,west coast marine,naturally ventilated
553,west coast marine,naturally ventilated
554,west coast marine,naturally ventilated
555,west coast marine,mixed mode
556,subtropical hot and dry,mixed mode
557,temperate oceanic,naturally ventilated
558,tropical wet savanna,naturally ventilated
559,tropical wet savanna,naturally ventilated
560,tropical wet savanna,air conditioned
561,monsoon-influenced hot-summer humid continental,mixed mode
562,cold semi-arid,naturally ventilated
563,cold semi-arid,air conditioned
564,cold semi-arid,naturally ventilated
565,cold semi-arid,air conditioned
566,cold semi-arid,naturally ventilated
567,cold semi-arid,naturally ventilated
568,hot desert,naturally ventilated
569,hot desert,air conditioned
570,hot desert,naturally ventilated
571,hot desert,naturally ventilated
572,hot desert,naturally ventilated
573,hot desert,naturally ventilated
574,hot desert,air conditioned
575,hot desert,naturally ventilated
576,hot desert,naturally ventilated
577,hot desert,naturally ventilated
578,hot semi-arid,naturally ventilated
579,hot semi-arid,air conditioned
580,hot semi-arid,naturally ventilated
581,hot semi-arid,air conditioned
582,hot semi-arid,naturally ventilated
583,hot semi-arid,air conditioned
584,hot semi-arid,naturally ventilated
585,hot-summer mediterranean,naturally ventilated
586,hot-summer mediterranean,naturally ventilated
587,hot-summer mediterranean,air conditioned
588,hot-summer mediterranean,naturally ventilated
589,hot-summer mediterranean,air conditioned
590,hot-summer mediterranean,naturally ventilated
591,tropical monsoon,naturally ventilated
592,tropical monsoon,naturally ventilated
593,monsoon-influenced hot-summer humid continental,air conditioned
594,monsoon-influenced hot-summer humid continental,naturally ventilated
595,monsoon-influenced hot-summer humid continental,air conditioned
596,monsoon-influenced hot-summer humid continental,air conditioned
597,monsoon-influenced hot-summer humid continental,naturally ventilated
598,humid subtropical,mixed mode
599,humid subtropical,air conditioned
600,humid subtropical,mixed mode
601,humid subtropical,mixed mode
602,humid subtropical,air conditioned
603,humid subtropical,mixed mode
604,humid subtropical,mixed mode
605,humid subtropical,mixed mode
606,tropical rainforest,naturally ventilated
607,hot-summer mediterranean,naturally ventilated
608,tropical rainforest,naturally ventilated
609,tropical rainforest,naturally ventilated
610,tropical rainforest,naturally ventilated
611,tropical rainforest,naturally ventilated
612,tropical rainforest,naturally ventilated
613,tropical rainforest,naturally ventilated
614,tropical rainforest,naturally ventilated
615,temperate oceanic,mixed mode
616,temperate oceanic,mixed mode
617,humid subtropical,mixed mode
618,humid subtropical,mixed mode
619,humid subtropical,mixed mode
620,humid subtropical,mixed mode
621,temperate oceanic,naturally ventilated
622,temperate oceanic,naturally ventilated
623,warm-summer mediterranean,naturally ventilated
624,warm-summer mediterranean,naturally ventilated
625,humid subtropical,naturally ventilated
626,humid subtropical,naturally ventilated
627,humid subtropical,
628,temperate oceanic,mixed mode
629,temperate oceanic,naturally ventilated
630,temperate oceanic,mixed mode
631,temperate oceanic,mixed mode
632,temperate oceanic,naturally ventilated
633,hot-summer mediterranean,naturally ventilated
634,hot-summer mediterranean,naturally ventilated
635,cool-summer mediterranean,naturally ventilated
636,cool-summer mediterranean,naturally ventilated
637,hot semi-arid,naturally ventilated
638,hot semi-arid,air conditioned
639,hot semi-arid,mixed mode
640,hot semi-arid,naturally ventilated
641,hot semi-arid,air conditioned
642,hot semi-arid,mixed mode
643,hot semi-arid,naturally ventilated
644,hot semi-arid,air conditioned
645,hot semi-arid,mixed mode
646,hot semi-arid,naturally ventilated
647,hot semi-arid,air conditioned
648,hot semi-arid,mixed mode
649,hot semi-arid,naturally ventilated
650,hot semi-arid,air conditioned
651,hot semi-arid,mixed mode
652,temperate oceanic,naturally ventilated
653,tropical wet savanna,air conditioned
654,tropical wet savanna,mixed mode
655,tropical wet savanna,air conditioned
656,tropical wet savanna,mixed mode
657,hot semi-arid,air conditioned
658,hot semi-arid,mixed mode
659,hot semi-arid,naturally ventilated
660,hot semi-arid,air conditioned
661,hot semi-arid,mixed mode
662,hot semi-arid,naturally ventilated
663,humid subtropical,naturally ventilated
664,humid subtropical,air conditioned
665,warm-summer mediterranean,mixed mode
666,warm-summer mediterranean,mixed mode
667,humid subtropical,air conditioned
668,humid subtropical,naturally ventilated
669,monsoon-influenced hot-summer humid continental,air conditioned
670,monsoon-influenced hot-summer humid continental,mixed mode
671,humid subtropical,mixed mode
672,humid subtropical,mixed mode
673,humid subtropical,mixed mode
674,humid subtropical,mixed mode
675,humid subtropical,
676,hot semi-arid,mixed mode
677,hot semi-arid,mixed mode
678,hot-summer mediterranean,mixed mode
679,hot-summer mediterranean,naturally ventilated
680,hot-summer mediterranean,mixed mode
681,hot-summer mediterranean,naturally ventilated
682,hot semi-arid,mixed mode
683,hot semi-arid,naturally ventilated
684,hot semi-arid,mixed mode
685,hot semi-arid,naturally ventilated
686,tropical wet savanna,air conditioned
687,tropical wet savanna,naturally ventilated
688,tropical wet savanna,air conditioned
689,tropical wet savanna,naturally ventilated
690,tropical wet savanna,air conditioned
691,tropical wet savanna,naturally ventilated
692,tropical wet savanna,air conditioned
693,tropical wet savanna,naturally ventilated
694,monsoon-influenced humid subtropical,air conditioned
695,monsoon-influenced humid subtropical,mixed mode
696,monsoon-influenced humid subtropical,air conditioned
697,monsoon-influenced humid subtropical,mixed mode
698,subtropical highland,mixed mode
699,subtropical highland,naturally ventilated
700,subtropical highland,mixed mode
701,subtropical highland,naturally ventilated
702,humid subtropical,mixed mode
703,humid subtropical,
704,temperate oceanic,naturally ventilated
705,tropical wet savanna,mixed mode
706,tropical wet savanna,mixed mode
707,tropical dry savanna,mixed mode
708,hot desert,mixed mode
709,hot desert,mixed mode
710,tropical wet savanna,mixed mode
711,tropical wet savanna,mixed mode
712,hot desert,mixed mode
713,hot desert,mixed mode
714,tropical rainforest,air conditioned
715,monsoon-influenced humid subtropical,naturally ventilated
716,monsoon-influenced humid subtropical,naturally ventilated
717,monsoon-influenced humid subtropical,naturally ventilated
718,monsoon-influenced humid subtropical,naturally ventilated
719,humid subtropical,naturally ventilated
720,humid subtropical,naturally ventilated
721,humid subtropical,naturally ventilated
722,humid subtropical,naturally ventilated
723,monsoon-influenced humid subtropical,naturally ventilated
724,monsoon-influenced humid subtropical,naturally ventilated
725,monsoon-influenced humid subtropical,naturally ventilated
726,monsoon-influenced humid subtropical,naturally ventilated
727,temperate oceanic,naturally ventilated
728,tropical,air conditioned
729,tropical,mixed mode
730,tropical,naturally ventilated
731,temperate,air conditioned
732,temperate,naturally ventilated
733,temperate,air conditioned
734,temperate,naturally ventilated
735,tropical,air conditioned
736,tropical,naturally ventilated
737,tropical,air conditioned
738,tropical,air conditioned
739,tropical,air conditioned
740,temperate oceanic,naturally ventilated
741,temperate oceanic,mixed mode
742,temperate oceanic,naturally ventilated
743,temperate oceanic,air conditioned
744,temperate oceanic,naturally ventilated
745,temperate oceanic,mixed mode
746,temperate oceanic,naturally ventilated
747,temperate oceanic,air conditioned
748,temperate oceanic,mixed mode
749,hot-summer mediterranean,air conditioned
750,hot-summer mediterranean,naturally ventilated
751,hot-summer mediterranean,air conditioned
752,hot-summer mediterranean,mixed mode
753,hot-summer mediterranean,naturally ventilated
754,hot-summer mediterranean,air conditioned
755,hot-summer mediterranean,naturally ventilated
756,hot-summer mediterranean,air conditioned
757,hot-summer mediterranean,mixed mode
758,hot-summer mediterranean,naturally ventilated
759,hot-summer mediterranean,naturally ventilated
760,hot-summer mediterranean,naturally ventilated
761,warm-summer mediterranean,naturally ventilated
762,warm-summer mediterranean,mixed mode
763,warm-summer mediterranean,naturally ventilated
764,warm-summer mediterranean,mixed mode
765,temperate oceanic,mixed mode
766,temperate oceanic,air conditioned
767,temperate oceanic,mixed mode
768,temperate oceanic,air conditioned
769,temperate oceanic,air conditioned
770,temperate oceanic,air conditioned
771,temperate oceanic,air conditioned
772,temperate oceanic,air conditioned
773,temperate oceanic,air conditioned
774,temperate oceanic,mixed mode
775,temperate oceanic,naturally ventilated
776,temperate oceanic,air conditioned
777,temperate oceanic,mixed mode
778,temperate oceanic,naturally ventilated
779,humid subtropical,air conditioned
780,warm-summer humid continental,naturally ventilated
781,warm-summer humid continental,naturally ventilated
782,monsoon-influenced hot-summer humid continental,
783,monsoon-influenced hot-summer humid continental,
784,monsoon-influenced hot-summer humid continental,
785,monsoon-influenced hot-summer humid continental,
786,monsoon-influenced hot-summer humid continental,
787,monsoon-influenced hot-summer humid continental,naturally ventilated
788,monsoon-influenced hot-summer humid continental,naturally ventilated
789,tropical wet savanna,air conditioned
790,humid subtropical,naturally ventilated
791,humid subtropical,air conditioned
792,humid subtropical,naturally ventilated
793,humid subtropical,air conditioned
794,humid subtropical,air conditioned
795,humid subtropical,naturally ventilated
796,humid subtropical,air conditioned
797,tropical monsoon,air conditioned
798,humid subtropical,mixed mode
799,humid subtropical,mixed mode
800,humid subtropical,mixed mode
801,humid subtropical,mixed mode
802,humid subtropical,naturally ventilated
803,humid subtropical,naturally ventilated
804,humid subtropical,naturally ventilated
805,humid subtropical,naturally ventilated
806,hot desert,naturally ventilated
807,hot desert,naturally ventilated
808,tropical rainforest,air conditioned
809,tropical rainforest,air conditioned
